Date,Time,Count,Fault,Battery,Ext Power,Int Press,etime,RTC Batt,,Temp,Cond,SpCond,Salinity,etime,Cond nLF,Power,,Chlorophyll,Chlorophyll,BGA-PC,BGA-PC,etime,Chlorophtll,BGA-PC,Ref Temp,Power,,ODO%,ODO Conc,etime,Ref Temp,ODO%Local,Power
4/5/13,1:00:00,1,0,6.155,0,0.66117,16477.54,2.867,,7.035,94.1,143.25,0.07,14820.71,145.65,35.3,,0.41,1.45,0.06,0.06,14769.55,0.41,0.06,7.04,127.4,,72.91,8.84,4124.35,7.04,76.91,77.8
4/5/13,1:10:00,2,0,6.163,0,0.66117,16496.52,2.869,,7.031,94.11,143.29,0.07,14837.21,145.68,35.3,,0.37,1.31,0.04,0.04,14786.04,0.37,0.04,7.03,127.2,,72.92,8.84,4140.85,7.03,76.92,78
4/5/13,1:20:00,3,0,6.163,0,0.66056,16515.5,2.867,,7.028,94.1,143.29,0.07,14853.71,145.68,35.3,,0.39,1.37,0.05,0.05,14802.54,0.39,0.05,7.03,127.2,,72.85,8.83,4157.35,7.03,76.84,78.1
4/5/13,1:30:00,4,0,6.171,0,0.66117,16534.48,2.868,,7.022,94.09,143.29,0.07,14870.21,145.68,35.3,,0.44,1.56,0.06,0.06,14819.04,0.44,0.06,7.02,127.3,,72.82,8.83,4173.85,7.02,76.81,78.1
4/5/13,1:40:00,5,0,6.168,0,0.65995,16553.46,2.867,,7.01,94.07,143.31,0.07,14886.71,145.71,35.3,,0.57,2.1,0.04,0.04,14835.54,0.57,0.04,7.01,127.7,,72.5,8.8,4190.35,7.01,76.47,77.7
4/5/13,1:50:00,6,0,6.173,0,0.65995,16572.44,2.868,,6.997,94.07,143.37,0.07,14903.21,145.77,35.3,,0.57,2.11,0.1,0.1,14852.04,0.57,0.1,7,127.7,,72.2,8.76,4206.85,7,76.16,77.6
4/5/13,2:00:00,7,0,6.168,0,0.66056,16591.42,2.867,,6.986,94.06,143.4,0.07,14919.72,145.79,35.3,,0.44,1.57,0.28,0.28,14868.54,0.44,0.28,6.99,127.7,,71.91,8.73,4223.35,6.99,75.85,77.7
4/5/13,2:10:00,8,0,6.174,0,0.66117,16610.4,2.868,,6.975,94.06,143.44,0.07,14936.22,145.84,35.2,,0.43,1.52,0.06,0.06,14885.04,0.43,0.06,6.97,127.5,,71.6,8.69,4239.85,6.97,75.52,77.6
4/5/13,2:20:00,9,0,6.168,0,0.66117,16629.44,2.866,,6.961,94.04,143.47,0.07,14952.78,145.86,35.3,,0.43,1.53,0.05,0.05,14901.6,0.43,0.05,6.96,127.7,,71.31,8.66,4256.4,6.96,75.22,77.8
4/5/13,2:30:00,10,0,6.173,0,0.66117,16648.42,2.867,,6.949,94.02,143.49,0.07,14969.28,145.88,35.2,,0.42,1.5,0.05,0.05,14918.1,0.42,0.05,6.95,127.5,,71.07,8.64,4272.9,6.95,74.97,77.6
4/5/13,2:40:00,11,0,6.17,0,0.66056,16667.4,2.866,,6.939,94.01,143.52,0.07,14985.79,145.91,35.3,,0.41,1.46,0.04,0.04,14934.6,0.41,0.04,6.94,127.3,,70.9,8.62,4289.4,6.94,74.78,77.6
4/5/13,2:50:00,12,0,6.174,0,0.66117,16686.38,2.867,,6.929,93.99,143.53,0.07,15002.29,145.92,35.4,,0.47,1.69,0.06,0.06,14951.1,0.47,0.06,6.93,127.3,,70.75,8.6,4305.9,6.93,74.62,77.4
4/5/13,3:00:00,13,0,6.17,0,0.66056,16705.36,2.866,,6.921,93.99,143.56,0.07,15018.79,145.95,35.3,,0.41,1.43,0.06,0.06,14967.6,0.41,0.06,6.92,127.3,,70.63,8.59,4322.4,6.92,74.5,77.2
4/5/13,3:10:00,14,0,6.176,0,0.66056,16724.34,2.867,,6.916,93.99,143.58,0.07,15035.3,145.97,35.3,,0.42,1.51,0.06,0.06,14984.1,0.42,0.06,6.92,127.2,,70.53,8.58,4338.9,6.92,74.39,77.6
4/5/13,3:20:00,15,0,6.17,0,0.66117,16743.32,2.866,,6.912,93.97,143.57,0.07,15051.8,145.96,35.3,,0.47,1.69,0.06,0.06,15000.6,0.47,0.06,6.91,127.2,,70.5,8.57,4355.39,6.91,74.36,78.1
4/5/13,3:30:00,16,0,6.174,0,0.66117,16762.3,2.867,,6.911,93.97,143.57,0.07,15068.3,145.96,35.3,,0.44,1.59,0.04,0.04,15017.1,0.44,0.04,6.91,127.1,,70.45,8.57,4371.89,6.91,74.31,78.3
4/5/13,3:40:00,17,0,6.171,0,0.66117,16781.28,2.866,,6.908,93.96,143.57,0.07,15084.8,145.96,35.2,,0.38,1.33,0.05,0.05,15033.6,0.38,0.05,6.91,127.4,,70.4,8.56,4388.39,6.91,74.26,78
4/5/13,3:50:00,18,0,6.176,0,0.66056,16800.26,2.867,,6.906,93.96,143.59,0.07,15101.31,145.98,35.3,,0.4,1.42,0.05,0.05,15050.1,0.4,0.05,6.91,127.3,,70.42,8.57,4404.89,6.91,74.28,77.5
4/5/13,4:00:00,19,0,6.171,0,0.66056,16819.24,2.866,,6.904,93.95,143.57,0.07,15117.81,145.96,35.3,,0.46,1.66,0.06,0.06,15066.6,0.46,0.06,6.9,127.3,,70.37,8.56,4421.39,6.9,74.23,77.4
4/5/13,4:10:00,20,0,6.173,0,0.66056,16838.22,2.866,,6.902,93.94,143.57,0.07,15134.31,145.96,35.3,,2.99,11.77,1.69,1.69,15083.1,2.99,1.69,6.9,127.3,,70.4,8.56,4437.88,6.9,74.26,77.3
4/5/13,4:20:00,21,0,6.171,0,0.66056,16857.2,2.866,,6.899,93.93,143.56,0.07,15150.82,145.95,35.3,,0.87,3.27,0.08,0.08,15099.6,0.87,0.08,6.9,127.3,,70.37,8.56,4454.39,6.9,74.23,77.7
4/5/13,4:30:00,22,0,6.174,0,0.66056,16876.18,2.866,,6.893,93.9,143.54,0.07,15167.32,145.93,35.3,,0.49,1.79,0.06,0.06,15116.1,0.49,0.06,6.89,127.3,,70.38,8.56,4470.89,6.89,74.24,78.1
4/5/13,4:40:00,23,0,6.17,0,0.66056,16895.16,2.866,,6.892,93.9,143.55,0.07,15183.82,145.94,35.3,,0.65,2.42,0.13,0.13,15132.6,0.65,0.13,6.89,127.3,,70.34,8.56,4487.39,6.89,74.2,78.2
4/5/13,4:50:00,24,0,6.176,0,0.66056,16914.14,2.866,,6.893,93.9,143.54,0.07,15200.32,145.93,35.3,,0.49,1.78,0.05,0.05,15149.1,0.49,0.05,6.89,127.2,,70.37,8.56,4503.88,6.89,74.22,77.8
4/5/13,5:00:00,25,0,6.171,0,0.66056,16933.12,2.866,,6.894,93.92,143.58,0.07,15216.83,145.97,35.3,,0.47,1.71,0.04,0.04,15165.6,0.47,0.04,6.89,127.2,,70.4,8.57,4520.39,6.89,74.25,77.3
4/5/13,5:10:00,26,0,6.176,0,0.66056,16952.1,2.866,,6.893,93.93,143.59,0.07,15233.33,145.98,35.3,,0.62,2.3,2.28,2.28,15182.1,0.62,2.28,6.89,127.3,,70.39,8.57,4536.88,6.89,74.25,77.3
4/5/13,5:20:00,27,0,6.168,0,0.66056,16971.08,2.866,,6.893,93.92,143.58,0.07,15249.83,145.96,35.3,,1.02,3.89,0.77,0.77,15198.6,1.02,0.77,6.89,127.3,,70.35,8.56,4553.38,6.89,74.2,77.4
4/5/13,5:30:00,28,0,6.174,0,0.66056,16990.06,2.866,,6.893,93.93,143.58,0.07,15266.33,145.97,35.3,,0.48,1.74,0.06,0.06,15215.1,0.48,0.06,6.89,127.3,,70.38,8.56,4569.88,6.89,74.24,77.8
4/5/13,5:40:00,29,0,6.171,0,0.66117,17009.04,2.866,,6.893,93.99,143.68,0.07,15282.84,146.07,35.3,,0.57,2.11,0.18,0.18,15231.6,0.57,0.18,6.89,127.4,,70.38,8.56,4586.38,6.89,74.24,78.1
4/5/13,5:50:00,30,0,6.174,0,0.66056,17028.02,2.866,,6.892,93.9,143.54,0.07,15299.34,145.93,35.4,,0.46,1.67,0.06,0.06,15248.1,0.46,0.06,6.89,127.4,,70.37,8.56,4602.88,6.89,74.22,78.2
4/5/13,6:00:00,31,0,6.166,0,0.66056,17047,2.865,,6.891,93.89,143.53,0.07,15315.84,145.92,35.3,,0.54,1.99,0.06,0.06,15264.6,0.54,0.06,6.89,127.4,,70.38,8.56,4619.38,6.89,74.24,77.8
4/5/13,6:10:00,32,0,6.173,0,0.66056,17065.98,2.866,,6.889,93.89,143.55,0.07,15332.35,145.94,35.4,,0.45,1.63,0.05,0.05,15281.1,0.45,0.05,6.89,127.3,,70.39,8.57,4635.88,6.89,74.24,77.4
4/5/13,6:20:00,33,0,6.168,0,0.65995,17084.96,2.865,,6.888,93.87,143.52,0.07,15348.85,145.91,35.3,,0.49,1.76,0.04,0.04,15297.6,0.49,0.04,6.89,127.3,,70.4,8.57,4652.38,6.89,74.26,78.1
4/5/13,6:30:00,34,0,6.174,0,0.66056,17103.94,2.866,,6.886,94.05,143.81,0.07,15365.35,146.2,35.3,,0.47,1.69,0.31,0.31,15314.1,0.47,0.31,6.89,127.2,,70.42,8.57,4668.88,6.89,74.28,78.1
4/5/13,6:40:00,35,0,6.168,0,0.66056,17122.92,2.865,,6.885,93.98,143.7,0.07,15381.85,146.09,35.3,,110.43,441.53,0.37,0.37,15330.6,110.43,0.37,6.88,127.3,,70.41,8.57,4685.38,6.88,74.26,78.1
4/5/13,6:50:00,36,0,6.174,0,0.66056,17141.9,2.866,,6.884,93.86,143.52,0.07,15398.36,145.91,35.3,,0.51,1.84,0.05,0.05,15347.1,0.51,0.05,6.88,127.3,,70.43,8.57,4701.88,6.88,74.29,78.2
4/5/13,7:00:00,37,0,6.166,0,0.66056,17160.88,2.866,,6.882,93.87,143.54,0.07,15414.86,145.93,35.4,,0.47,1.68,0.03,0.03,15363.6,0.47,0.03,6.88,127.4,,70.44,8.57,4718.37,6.88,74.3,78.1
4/5/13,7:10:00,38,0,6.173,0,0.66056,17179.86,2.866,,6.882,93.86,143.53,0.07,15431.36,145.92,35.4,,0.52,1.88,0.06,0.06,15380.1,0.52,0.06,6.88,127.4,,70.4,8.57,4734.88,6.88,74.26,77.4
